delta,R,T,area,Wilson_loop,Creutz_ratio,mass_proxy
0.01,1,1,1,0.9900498337491681,0.009999999999999946,0.1
0.01,1,2,2,0.9801986733067553,0.010000000000000024,0.1
0.01,1,3,3,0.9704455335485082,0.010000000000000007,0.1
0.01,1,4,4,0.9607894391523232,0.010000000000000009,0.1
0.01,2,1,2,0.9801986733067553,0.010000000000000024,0.1
0.01,2,2,4,0.9607894391523232,0.010000000000000009,0.1
0.01,2,3,6,0.9417645335842487,0.009999999999999998,0.1
0.01,2,4,8,0.9231163463866358,0.010000000000000004,0.1
0.01,3,1,3,0.9704455335485082,0.010000000000000007,0.1
0.01,3,2,6,0.9417645335842487,0.009999999999999998,0.1
0.01,3,3,9,0.9139311852712282,0.01,0.1
0.01,3,4,12,0.8869204367171575,0.010000000000000004,0.1
0.01,4,1,4,0.9607894391523232,0.010000000000000009,0.1
0.01,4,2,8,0.9231163463866358,0.010000000000000004,0.1
0.01,4,3,12,0.8869204367171575,0.010000000000000004,0.1
0.01,4,4,16,0.8521437889662113,0.01,0.1
0.03,1,1,1,0.9704455335485082,0.030000000000000023,0.17320508075688773
0.03,1,2,2,0.9417645335842487,0.029999999999999995,0.17320508075688773
0.03,1,3,3,0.9139311852712282,0.03,0.17320508075688773
0.03,1,4,4,0.8869204367171575,0.03000000000000001,0.17320508075688773
0.03,2,1,2,0.9417645335842487,0.029999999999999995,0.17320508075688773
0.03,2,2,4,0.8869204367171575,0.03000000000000001,0.17320508075688773
0.03,2,3,6,0.835270211411272,0.030000000000000002,0.17320508075688773
0.03,2,4,8,0.7866278610665535,0.029999999999999992,0.17320508075688773
0.03,3,1,3,0.9139311852712282,0.03,0.17320508075688773
0.03,3,2,6,0.835270211411272,0.030000000000000002,0.17320508075688773
0.03,3,3,9,0.7633794943368531,0.03000000000000001,0.17320508075688773
0.03,3,4,12,0.697676326071031,0.030000000000000002,0.17320508075688773
0.03,4,1,4,0.8869204367171575,0.03000000000000001,0.17320508075688773
0.03,4,2,8,0.7866278610665535,0.029999999999999992,0.17320508075688773
0.03,4,3,12,0.697676326071031,0.030000000000000002,0.17320508075688773
0.03,4,4,16,0.6187833918061408,0.030000000000000002,0.17320508075688773
0.06,1,1,1,0.9417645335842487,0.05999999999999999,0.2449489742783178
0.06,1,2,2,0.8869204367171575,0.06000000000000002,0.2449489742783178
0.06,1,3,3,0.835270211411272,0.060000000000000005,0.2449489742783178
0.06,1,4,4,0.7866278610665535,0.059999999999999984,0.2449489742783178
0.06,2,1,2,0.8869204367171575,0.06000000000000002,0.2449489742783178
0.06,2,2,4,0.7866278610665535,0.059999999999999984,0.2449489742783178
0.06,2,3,6,0.697676326071031,0.060000000000000005,0.2449489742783178
0.06,2,4,8,0.6187833918061408,0.060000000000000005,0.2449489742783178
0.06,3,1,3,0.835270211411272,0.060000000000000005,0.2449489742783178
0.06,3,2,6,0.697676326071031,0.060000000000000005,0.2449489742783178
0.06,3,3,9,0.5827482523739896,0.060000000000000005,0.2449489742783178
0.06,3,4,12,0.4867522559599717,0.06,0.2449489742783178
0.06,4,1,4,0.7866278610665535,0.059999999999999984,0.2449489742783178
0.06,4,2,8,0.6187833918061408,0.060000000000000005,0.2449489742783178
0.06,4,3,12,0.4867522559599717,0.06,0.2449489742783178
0.06,4,4,16,0.38289288597511206,0.05999999999999999,0.2449489742783178
0.121,1,1,1,0.8860339595928756,0.12100000000000002,0.3478505426185217
0.121,1,2,2,0.7850561775518295,0.12099999999999997,0.3478505426185217
0.121,1,3,3,0.6955864334990951,0.12099999999999998,0.3478505426185217
0.121,1,4,4,0.6163132019122897,0.12099999999999998,0.3478505426185217
0.121,2,1,2,0.7850561775518295,0.12099999999999997,0.3478505426185217
0.121,2,2,4,0.6163132019122897,0.12099999999999998,0.3478505426185217
0.121,2,3,6,0.483840486467991,0.121,0.3478505426185217
0.121,2,4,8,0.3798419628513787,0.121,0.3478505426185217
0.121,3,1,3,0.6955864334990951,0.12099999999999998,0.3478505426185217
0.121,3,2,6,0.483840486467991,0.121,0.3478505426185217
0.121,3,3,9,0.336552878364737,0.121,0.3478505426185217
0.121,3,4,12,0.2341016163455822,0.121,0.3478505426185217
0.121,4,1,4,0.6163132019122897,0.12099999999999998,0.3478505426185217
0.121,4,2,8,0.3798419628513787,0.121,0.3478505426185217
0.121,4,3,12,0.2341016163455822,0.121,0.3478505426185217
0.121,4,4,16,0.14427991674278817,0.121,0.3478505426185217
