L,delta,eta,m_true,m_eff_mean,m_fit,m_cosh,abs_err_fit,abs_err_cosh,rel_err_fit_pct,rel_err_cosh_pct
12,0.08,0.0,0.282842712474619,0.1231689205754799,0.177639405117854,0.28284271247461895,0.105203307356765,5.551115123125783e-17,37.19498601761057,1.962615573354719e-14
12,0.08,0.05,0.2831255551870936,0.12336535520063645,0.17791607169459783,0.2831255551870935,0.10520948349249576,1.1102230246251565e-16,37.16000960173721,3.9213098368725655e-14
12,0.08,0.1,0.28340839789956823,0.12356184758735252,0.17819280884746896,0.28340839789956823,0.10521558905209927,0.0,37.12507809644534,0.0
12,0.121,0.0,0.3478505426185217,0.1695291215043678,0.2427011396751762,0.34785054261852166,0.10514940294334552,5.551115123125783e-17,30.228327991616794,1.5958333948075915e-14
12,0.121,0.05,0.3481983931611402,0.16978227446881786,0.24305544470776436,0.34819839316114015,0.10514294845337585,5.551115123125783e-17,30.196276180033234,1.5942391556519395e-14
12,0.121,0.1,0.34854624370375875,0.17003546788802446,0.24340979894505144,0.3485462437037588,0.10513644475870731,5.551115123125783e-17,30.164274226999368,1.5926480986103708e-14
16,0.08,0.0,0.282842712474619,0.1231689205754799,0.177639405117854,0.28284271247461895,0.105203307356765,5.551115123125783e-17,37.19498601761057,1.962615573354719e-14
16,0.08,0.05,0.2831255551870936,0.12336535520063645,0.17791607169459783,0.2831255551870935,0.10520948349249576,1.1102230246251565e-16,37.16000960173721,3.9213098368725655e-14
16,0.08,0.1,0.28340839789956823,0.12356184758735252,0.17819280884746896,0.28340839789956823,0.10521558905209927,0.0,37.12507809644534,0.0
16,0.121,0.0,0.3478505426185217,0.1695291215043678,0.2427011396751762,0.34785054261852166,0.10514940294334552,5.551115123125783e-17,30.228327991616794,1.5958333948075915e-14
16,0.121,0.05,0.3481983931611402,0.16978227446881786,0.24305544470776436,0.34819839316114015,0.10514294845337585,5.551115123125783e-17,30.196276180033234,1.5942391556519395e-14
16,0.121,0.1,0.34854624370375875,0.17003546788802446,0.24340979894505144,0.3485462437037588,0.10513644475870731,5.551115123125783e-17,30.164274226999368,1.5926480986103708e-14
