seed,L,dims,cfg_index,plaquette_before,plaquette_after,abs_diff_plaquette,w22_before,w22_after,abs_diff_w22,w33_before,w33_after,abs_diff_w33
121,8,4,0,0.00042646709784788066,0.0004264670978478772,3.469446951953614e-18,0.0021842460299485527,0.00218424602994855,2.6020852139652106e-18,-0.008111330514770426,-0.008111330514770433,6.938893903907228e-18
121,8,4,1,0.0010163357279490003,0.0010163357279490033,3.0357660829594124e-18,0.005147991547506642,0.005147991547506646,4.336808689942018e-18,-0.009265664935088744,-0.009265664935088742,1.734723475976807e-18
121,8,4,2,0.003845253349315538,0.0038452533493155403,2.168404344971009e-18,-0.010340950245545513,-0.010340950245545514,1.734723475976807e-18,0.004099459769998269,0.004099459769998271,1.734723475976807e-18
121,12,4,0,-0.0005604089936806182,-0.0005604089936806199,1.6263032587282567e-18,-0.0025671701354454727,-0.002567170135445475,2.168404344971009e-18,-0.002776066729901307,-0.0027760667299013037,3.469446951953614e-18
121,12,4,1,0.002023949043615418,0.0020239490436154187,8.673617379884035e-19,0.003318104130271864,0.003318104130271862,2.168404344971009e-18,-0.0009261181675491054,-0.000926118167549107,1.6263032587282567e-18
121,12,4,2,0.0009208024369201313,0.0009208024369201317,3.2526065174565133e-19,-0.004736540050090544,-0.004736540050090543,8.673617379884035e-19,-0.0014104734671865089,-0.0014104734671865104,1.5178830414797062e-18
2121,8,4,0,-0.005288088934275198,-0.005288088934275199,8.673617379884035e-19,0.010603059690477354,0.010603059690477356,1.734723475976807e-18,-0.004507671208835967,-0.004507671208835967,0.0
2121,8,4,1,0.005516481532845181,0.005516481532845179,2.6020852139652106e-18,0.005810376132355582,0.005810376132355575,6.938893903907228e-18,0.010832933331813253,0.010832933331813253,0.0
2121,8,4,2,0.0007852184376180207,0.0007852184376180177,2.927345865710862e-18,0.0020957818868153743,0.0020957818868153717,2.6020852139652106e-18,0.004882771087917152,0.004882771087917157,5.204170427930421e-18
2121,12,4,0,0.0007906485381182839,0.0007906485381182835,4.336808689942018e-19,-0.003669998880345176,-0.0036699988803451746,1.3010426069826053e-18,0.001823336923756467,0.001823336923756467,0.0
2121,12,4,1,0.0007927594052739259,0.0007927594052739252,7.589415207398531e-19,-0.0006631993291320231,-0.0006631993291320239,7.589415207398531e-19,0.0023660130356430646,0.0023660130356430668,2.168404344971009e-18
2121,12,4,2,-0.0015490388532671416,-0.0015490388532671414,2.168404344971009e-19,-0.003370024291705246,-0.0033700242917052473,1.3010426069826053e-18,0.0027144061945346765,0.002714406194534675,1.3010426069826053e-18
